,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
10161,289,Casablanca,en,11/26/42,11,November,1942,8.2,26.893,FALSE
4032,25508,Cat People,en,12/5/42,12,December,1942,6.9,10.844,FALSE
14032,25508,Cat People,en,12/5/42,12,December,1942,6.9,10.844,FALSE
740,27040,Meshes of the Afternoon,en,1/1/43,1,January,1943,7.8,5.781,FALSE
10740,27040,Meshes of the Afternoon,en,1/1/43,1,January,1943,7.8,5.781,FALSE
1356,21734,Shadow of a Doubt,en,1/15/43,1,January,1943,7.5,12.263,FALSE
11356,21734,Shadow of a Doubt,en,1/15/43,1,January,1943,7.5,12.263,FALSE
709,980,The Ox-Bow Incident,en,3/11/43,3,March,1943,7.8,10.609,FALSE
10709,980,The Ox-Bow Incident,en,3/11/43,3,March,1943,7.8,10.609,FALSE
4600,27130,I Walked with a Zombie,en,4/21/43,4,April,1943,6.8,10.12,FALSE
14600,27130,I Walked with a Zombie,en,4/21/43,4,April,1943,6.8,10.12,FALSE
1410,29084,Le Corbeau,fr,9/28/43,9,September,1943,7.5,8.545,FALSE
11410,29084,Le Corbeau,fr,9/28/43,9,September,1943,7.5,8.545,FALSE
1956,13321,Lifeboat,en,1/28/44,1,January,1944,7.4,12.576,FALSE
11956,13321,Lifeboat,en,1/28/44,1,January,1944,7.4,12.576,FALSE
1353,5155,Ossessione,it,4/8/44,4,April,1944,7.5,9.692,FALSE
11353,5155,Ossessione,it,4/8/44,4,April,1944,7.5,9.692,FALSE
1341,13528,Gaslight,en,5/4/44,5,May,1944,7.5,15.221,FALSE
11341,13528,Gaslight,en,5/4/44,5,May,1944,7.5,15.221,FALSE
184,996,Double Indemnity,en,6/14/44,6,June,1944,8.1,13.959,FALSE
10184,996,Double Indemnity,en,6/14/44,6,June,1944,8.1,13.959,FALSE
1030,212,Arsenic and Old Lace,en,9/1/44,9,September,1944,7.6,9.82,FALSE
11030,212,Arsenic and Old Lace,en,9/1/44,9,September,1944,7.6,9.82,FALSE
949,1939,Laura,en,10/11/44,10,October,1944,7.7,12.232,FALSE
10949,1939,Laura,en,10/11/44,10,October,1944,7.7,12.232,FALSE
1629,17136,The Woman in the Window,en,10/25/44,10,October,1944,7.4,7.499,FALSE
11629,17136,The Woman in the Window,en,10/25/44,10,October,1944,7.4,7.499,FALSE
3564,909,Meet Me in St. Louis,en,11/28/44,11,November,1944,7,11.069,FALSE
13564,909,Meet Me in St. Louis,en,11/28/44,11,November,1944,7,11.069,FALSE
6922,15947,The Three Caballeros,en,12/21/44,12,December,1944,6.4,14.453,FALSE
16922,15947,The Three Caballeros,en,12/21/44,12,December,1944,6.4,14.453,FALSE
1576,22584,To Have and Have Not,en,1/20/45,1,January,1945,7.5,10.343,FALSE
11576,22584,To Have and Have Not,en,1/20/45,1,January,1945,7.5,10.343,FALSE
3311,16559,The Picture of Dorian Gray,en,3/1/45,3,March,1945,7.1,12.703,FALSE
13311,16559,The Picture of Dorian Gray,en,3/1/45,3,March,1945,7.1,12.703,FALSE
145,2457,Children of Paradise,fr,3/15/45,3,March,1945,8.2,9.192,FALSE
10145,2457,Children of Paradise,fr,3/15/45,3,March,1945,8.2,9.192,FALSE
2626,13581,Dead of Night,en,9/9/45,9,September,1945,7.2,6.589,FALSE
12626,13581,Dead of Night,en,9/9/45,9,September,1945,7.2,6.589,FALSE
300,307,"Rome, Open City",it,10/8/45,10,October,1945,8,11.3,FALSE
10300,307,"Rome, Open City",it,10/8/45,10,October,1945,8,11.3,FALSE
967,3309,Mildred Pierce,en,10/20/45,10,October,1945,7.7,13.109,FALSE
10967,3309,Mildred Pierce,en,10/20/45,10,October,1945,7.7,13.109,FALSE
3668,4886,And Then There Were None,en,10/31/45,10,October,1945,7,11.214,FALSE
13668,4886,And Then There Were None,en,10/31/45,10,October,1945,7,11.214,FALSE
1581,4174,Spellbound,en,11/8/45,11,November,1945,7.5,11.303,FALSE
11581,4174,Spellbound,en,11/8/45,11,November,1945,7.5,11.303,FALSE
690,851,Brief Encounter,en,11/24/45,11,November,1945,7.8,9.441,FALSE
10690,851,Brief Encounter,en,11/24/45,11,November,1945,7.8,9.441,FALSE
951,28580,The Lost Weekend,en,11/29/45,11,November,1945,7.7,21.037,FALSE
10951,28580,The Lost Weekend,en,11/29/45,11,November,1945,7.7,21.037,FALSE
2355,20367,Detour,en,11/30/45,11,November,1945,7.3,11.82,FALSE
12355,20367,Detour,en,11/30/45,11,November,1945,7.3,11.82,FALSE
998,17058,Scarlet Street,en,12/25/45,12,December,1945,7.6,9.183,FALSE
1701,17645,Leave Her to Heaven,en,12/25/45,12,December,1945,7.4,9.246,FALSE
10998,17058,Scarlet Street,en,12/25/45,12,December,1945,7.6,9.183,FALSE
11701,17645,Leave Her to Heaven,en,12/25/45,12,December,1945,7.4,9.246,FALSE
3286,27452,The Spiral Staircase,en,2/6/46,2,February,1946,7.1,7.081,FALSE
13286,27452,The Spiral Staircase,en,2/6/46,2,February,1946,7.1,7.081,FALSE
1159,3767,Gilda,en,4/25/46,4,April,1946,7.6,11.189,FALSE
11159,3767,Gilda,en,4/25/46,4,April,1946,7.6,11.189,FALSE
526,43469,Shoeshine,it,4/27/46,4,April,1946,7.9,7.636,FALSE
10526,43469,Shoeshine,it,4/27/46,4,April,1946,7.9,7.636,FALSE
3275,25736,The Postman Always Rings Twice,en,5/2/46,5,May,1946,7.1,10.64,FALSE
13275,25736,The Postman Always Rings Twice,en,5/2/46,5,May,1946,7.1,10.64,FALSE
9213,20343,Make Mine Music,en,6/30/46,6,June,1946,5.9,12.745,FALSE
19213,20343,Make Mine Music,en,6/30/46,6,June,1946,5.9,12.745,FALSE
2339,20246,The Stranger,en,7/2/46,7,July,1946,7.3,12.871,FALSE
12339,20246,The Stranger,en,7/2/46,7,July,1946,7.3,12.871,FALSE
703,303,Notorious,en,8/21/46,8,August,1946,7.8,14.369,FALSE
10703,303,Notorious,en,8/21/46,8,August,1946,7.8,14.369,FALSE
996,910,The Big Sleep,en,8/23/46,8,August,1946,7.6,15.26,FALSE
10996,910,The Big Sleep,en,8/23/46,8,August,1946,7.6,15.26,FALSE
1772,14638,The Killers,en,8/28/46,8,August,1946,7.4,9.812,FALSE
11772,14638,The Killers,en,8/28/46,8,August,1946,7.4,9.812,FALSE
1635,3088,My Darling Clementine,en,10/17/46,10,October,1946,7.4,15.731,FALSE
11635,3088,My Darling Clementine,en,10/17/46,10,October,1946,7.4,15.731,FALSE
1508,648,Beauty and the Beast,fr,10/29/46,10,October,1946,7.5,14.834,FALSE
11508,648,Beauty and the Beast,fr,10/29/46,10,October,1946,7.5,14.834,FALSE
6284,13850,Song of the South,en,11/12/46,11,November,1946,6.5,21.098,FALSE
16284,13850,Song of the South,en,11/12/46,11,November,1946,6.5,21.098,FALSE
1033,8429,Paisan,it,12/10/46,12,December,1946,7.6,7.732,FALSE
11033,8429,Paisan,it,12/10/46,12,December,1946,7.6,7.732,FALSE
722,28162,A Matter of Life and Death,en,12/15/46,12,December,1946,7.8,12.191,FALSE
10722,28162,A Matter of Life and Death,en,12/15/46,12,December,1946,7.8,12.191,FALSE
99,1585,It's a Wonderful Life,en,12/20/46,12,December,1946,8.3,27.149,FALSE
10099,1585,It's a Wonderful Life,en,12/20/46,12,December,1946,8.3,27.149,FALSE
589,887,The Best Years of Our Lives,en,12/25/46,12,December,1946,7.8,15.496,FALSE
10589,887,The Best Years of Our Lives,en,12/25/46,12,December,1946,7.8,15.496,FALSE
2415,14320,Great Expectations,en,12/26/46,12,December,1946,7.3,13.718,FALSE
12415,14320,Great Expectations,en,12/26/46,12,December,1946,7.3,13.718,FALSE
971,22292,The Ghost and Mrs. Muir,en,5/25/47,5,May,1947,7.7,11.129,FALSE
